ID_Client;Segment;Type_Client;Saison;Canal_reservation;Type_canal;Annulee;Mois_sejour;Sexe;Niveau_revenus;Pays;Province;Ville;Type_chambre;Numero_chambre;Nuits;Rev_Chambre;Tarif_applique;Rev_Banquet;Rev_Resto;Rev_Spa;Type_Forfait;Satisfaction_NPS;Total_Facture
AB-00682;Local_Gourmet;Externe;Haute;Téléphone à l'hôtel;Direct;Oui;12;M;Moyen;Canada;Québec;Québec;deluxe;74;0;0.0;219.79999999999998;0.0;0.0;;Forfait Gastronomique;;0.0
AB-00683;Loisirs_Couple;Interne;Haute;Courriel à l'hôtel;Direct;Non;10;F;Élevé;Canada;Québec;Montréal;deluxe;80;1;328.13;328.13;0.0;;191.86745582199882;Forfait Gastronomique;9.191165747245535;681.813222109266
AB-00684;Local_Gourmet;Externe;Basse;Téléphone à l'hôtel;Direct;Non;11;F;Faible;Canada;Québec;Québec;Suite junior;86;0;0.0;390.3499999999999;0.0;149.5495147425874;20.444157480007178;Chambre Seule;7.429735031470481;195.9756165531347
AB-00685;Congressiste;Interne;Basse;Expedia;Intermediaire;Non;6;F;Faible;Canada;Québec;Québec;Classique;13;2;684.93;342.465;836.5448366964216;55.04058551433352;0.0;Chambre Seule;7.493648495119449;733.2533659768474
AB-00686;Affaires_Solo;Interne;Basse;Booking.com;Intermediaire;Oui;10;M;Faible;Europe;France;Lyon;Classique;44;0;0.0;302.005;0.0;0.0;0.0;Chambre Seule;;7.129984301723881
AB-00687;Local_Spa;Externe;Haute;Booking.com;Intermediaire;Oui;3;M;Moyen;Europe;Autre;Non spécifié;Suite junior;87;0;0.0;415.66999999999996;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00688;Affaires_Solo;Interne;Basse;Site Web de l'hôtel;Direct;Oui;3;M;Faible;Autre;—;Non spécifié;Classique;61;0;0.0;284.66499999999996;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00689;Congressiste;Interne;Basse;Expedia;Intermediaire;Non;11;F;Élevé;Canada;Québec;Montréal;deluxe;85;4;1161.7999999999997;290.44999999999993;350.12110381784265;34.0287803611329;0.0;Chambre Seule;7.006082965075884;1206.3412580792808
AB-00690;Local_Gourmet;Externe;Basse;Expedia;Intermediaire;Non;8;M;Élevé;États-Unis;California;Non spécifié;Classique;60;0;0.0;359.80499999999995;0.0;151.01969864814794;13.24231885891827;Forfait Gastronomique;7.495932506608375;187.7793161444169
AB-00691;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;9;F;Moyen;Canada;Québec;Montréal;Classique;17;2;638.6899999999999;319.34499999999997;315.4599552045902;53.75702958887163;0.0;Chambre Seule;7.230236940737755;694.2130708895679
AB-00692;Loisirs_Couple;Interne;Haute;Autre OTA;Intermediaire;Non;12;M;Moyen;États-Unis;New York;Rochester;Classique;6;1;202.29999999999998;202.29999999999998;0.0;85.27884765440305;187.08248546100393;Forfait Gastronomique;9.434284761463607;550.9072615527909
AB-00693;Congressiste;Interne;Basse;TripAdvisor;Intermediaire;Non;11;M;Faible;États-Unis;California;Non spécifié;Classique;16;1;267.32499999999993;267.32499999999993;167.59756719176193;;;Chambre Seule;7.767906571366885;375.93299338456893
AB-00694;Affaires_Solo;Interne;Basse;Booking.com;Intermediaire;Non;6;F;Élevé;Europe;Autre;Non spécifié;Classique;36;1;342.465;342.465;0.0;56.158028323256254;37.2681534212488;Forfait Gastronomique;7.88372110467943;458.84678667264797
AB-00695;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;6;M;Élevé;Autre;—;Non spécifié;Classique;16;3;1027.395;342.465;0.0;82.67601422963801;171.572850722049;Forfait Gastronomique;8.47514164884891;1347.3143341709492
AB-00696;Affaires_Solo;Interne;Basse;Courriel à l'hôtel;Direct;Oui;8;M;Faible;Europe;Autre;Non spécifié;Suite junior;89;0;0.0;525.39;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00697;Congressiste;Interne;Basse;Expedia;Intermediaire;Oui;9;F;Faible;États-Unis;New York;Rochester;Suite senior;95;0;0.0;635.375;0.0;0.0;0.0;Chambre Seule;;3.2613302224211798
AB-00698;Local_Spa;Externe;Basse;Trip.com;Intermediaire;Oui;8;M;Moyen;États-Unis;New York;Rochester;Suite exécutive;99;0;0.0;1018.4099999999999;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00699;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;3;F;Moyen;Autre;—;Non spécifié;Classique;47;1;284.66499999999996;284.66499999999996;0.0;68.95875205626308;;Forfait Gastronomique;8.446724385694848;593.9296326430942
AB-00700;Local_Gourmet;Externe;Basse;Trip.com;Intermediaire;Oui;5;M;Élevé;Autre;—;Non spécifié;Classique;56;0;0.0;302.005;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00701;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;11;F;Moyen;États-Unis;California;Non spécifié;Classique;50;2;534.6499999999999;267.32499999999993;0.0;53.01281726625788;4.260405559387193;Chambre Seule;5.638305915547349;593.2753960148965
AB-00702;Congressiste;Interne;Basse;Expedia;Intermediaire;Non;3;M;Faible;Europe;Autre;Non spécifié;Classique;35;1;284.66499999999996;284.66499999999996;376.53604619736615;45.05482836276146;0.0;Forfait Gastronomique;7.5053016296229424;344.7154034574065
AB-00703;Congressiste;Interne;Basse;Hotels.com;Intermediaire;Oui;9;M;Moyen;Canada;Québec;Montréal;Suite senior;91;0;0.0;635.375;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00704;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;11;F;Élevé;États-Unis;California;Non spécifié;Suite exécutive;99;5;3783.249999999999;756.6499999999999;0.0;96.423834486665;192.4881746273852;Forfait Gastronomique;8.698913626985386;4125.466231987296
AB-00705;Congressiste;Interne;Basse;Site Web de l'hôtel;Direct;Non;9;F;Élevé;États-Unis;New York;Buffalo;Suite exécutive;99;1;903.89;903.89;1342.2585919158769;20.39618342852242;0.0;Forfait Gastronomique;7.452962986882;910.7595100361357
AB-00706;Congressiste;Interne;Basse;Booking.com;Intermediaire;Oui;3;M;Faible;Europe;France;Lyon;Classique;28;0;0.0;284.66499999999996;0.0;0.0;0.0;Chambre Seule;;6.060099513456397
AB-00707;Congressiste;Interne;Haute;Booking.com;Intermediaire;Non;5;F;Élevé;Canada;Ontario;Toronto;Suite junior;90;5;2204.95;440.98999999999995;113.29675856209029;12.564352123559644;21.966087743151075;Chambre Seule;7.085572537641734;2234.522407877049
AB-00708;Congressiste;Interne;Haute;TripAdvisor;Intermediaire;Non;12;M;Faible;États-Unis;California;Non spécifié;Classique;11;1;202.29999999999998;202.29999999999998;571.4025308560072;34.62281278691905;0.0;Chambre Seule;6.243637910149641;257.93303588545456
AB-00709;Affaires_Solo;Interne;Basse;Expedia;Intermediaire;Non;5;M;Élevé;Canada;Ontario;Toronto;Classique;43;1;302.005;302.005;0.0;50.167599931455314;9.795100135063663;Forfait Gastronomique;7.251993689903155;349.1036960213464
AB-00710;Local_Gourmet;Externe;Haute;Téléphone à l'hôtel;Direct;Non;11;F;Élevé;Europe;Autre;Non spécifié;Classique;3;0;0.0;267.32499999999993;0.0;123.37959176206569;4.5839979944788904;Chambre Seule;6.458724523086452;158.6413120139952
AB-00711;Local_Gourmet;Externe;Haute;Site Web de l'hôtel;Direct;Non;9;M;Moyen;Canada;Ontario;Ottawa;Suite senior;92;0;0.0;635.375;0.0;149.7244227148861;14.48228749002721;Chambre Seule;5.7621362574721635;185.63401339543628
AB-00712;Affaires_Solo;Interne;Haute;Courriel à l'hôtel;Direct;Non;12;F;Élevé;Canada;Québec;Québec;Suite senior;95;1;402.5;402.5;0.0;62.15244663145476;0.0;Chambre Seule;4.789013290844868;469.9005601758963
AB-00713;Congressiste;Interne;Basse;Trivago;Intermediaire;Non;6;F;Moyen;Autre;—;Non spécifié;Classique;50;3;1027.395;342.465;747.5690879011014;42.14646768551454;0.0;Chambre Seule;6.804032402975093;1068.3069235859764
AB-00714;Local_Spa;Externe;Basse;Site Web de l'hôtel;Direct;Non;7;M;Moyen;Canada;Québec;Québec;Classique;48;0;0.0;330.9049999999999;0.0;19.278406772182038;149.20544304542162;Chambre Seule;9.001506513342198;219.1646845519691
AB-00715;Affaires_Solo;Interne;Basse;Expedia;Intermediaire;Non;1;M;Élevé;Europe;France;Marseille;Classique;59;3;645.915;215.30499999999998;0.0;44.467703902491024;0.0;Chambre Seule;7.13231881641314;694.4531272684916
AB-00716;Loisirs_Couple;Interne;Haute;Courriel à l'hôtel;Direct;Non;3;F;Moyen;Canada;Québec;Montréal;Classique;12;5;1423.3249999999998;284.66499999999996;0.0;71.99097631775591;158.12949049809703;Chambre Seule;8.543532564381712;1719.1164304172225
AB-00717;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;7;M;Élevé;États-Unis;California;Non spécifié;deluxe;83;2;719.0599999999998;359.5299999999999;0.0;39.02527684534396;187.12224731430499;Chambre Seule;9.68904645389076;1006.3890025250951
AB-00718;Affaires_Solo;Interne;Basse;Site Web de l'hôtel;Direct;Non;1;F;Moyen;Canada;Québec;Laval;Classique;20;1;215.30499999999998;215.30499999999998;0.0;63.727689520193124;28.5581613634588;Chambre Seule;7.7832993321753525;324.03408585932766
AB-00719;Affaires_Solo;Interne;Basse;Téléphone à l'hôtel;Direct;Non;1;F;Élevé;États-Unis;California;Non spécifié;deluxe;82;3;701.7899999999998;233.92999999999995;0.0;39.825197420633025;;Forfait Gastronomique;7.198525294029363;741.9615950405577
AB-00720;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;3;M;Élevé;Canada;Ontario;Toronto;deluxe;77;3;927.8699999999999;309.28999999999996;0.0;52.67898450516149;0.0;Chambre Seule;6.222778349025539;985.2474267184668
AB-00721;Loisirs_Couple;Interne;Haute;Autre OTA;Intermediaire;Non;6;F;Faible;Europe;Autre;Non spécifié;Classique;24;1;342.465;342.465;0.0;96.58429285375693;215.26420012512898;Chambre Seule;8.052476617763668;731.6291999907208
AB-00722;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;3;M;Élevé;États-Unis;California;Non spécifié;deluxe;71;4;1237.1599999999999;309.28999999999996;0.0;101.86062441033224;186.91359167231667;Forfait Gastronomique;8.966357251556605;1575.0926720988107
AB-00723;Affaires_Solo;Interne;Basse;Booking.com;Intermediaire;Non;7;M;Faible;Europe;France;Paris;Classique;18;4;1323.6199999999997;330.9049999999999;0.0;74.39098656307466;0.0;Forfait Gastronomique;7.693508155377278;1391.9682309983248
AB-00724;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;1;F;Élevé;Canada;Québec;Gatineau;Classique;54;3;645.915;215.30499999999998;378.7306465533645;53.279498572904096;0.0;Chambre Seule;6.568782435543874;711.9550893704217
AB-00725;Local_Gourmet;Externe;Haute;Booking.com;Intermediaire;Oui;5;M;Élevé;Canada;Ontario;Ottawa;Classique;46;0;0.0;302.005;0.0;0.0;0.0;Chambre Seule;;1.7086543812794186
AB-00726;Local_Gourmet;Externe;Haute;Trivago;Intermediaire;Non;5;F;Élevé;États-Unis;New York;Buffalo;Suite exécutive;99;0;0.0;854.81;0.0;186.24097045547921;3.413383277068436;Chambre Seule;6.417215366440069;207.4626323976893
AB-00727;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;4;F;Faible;Canada;Québec;Laval;deluxe;70;2;656.26;328.13;247.62528829355895;48.32424550556835;0.0;Chambre Seule;7.477323762181002;709.6010093867792
AB-00728;Local_Gourmet;Externe;Basse;Expedia;Intermediaire;Non;4;F;Moyen;Canada;Autre;Non spécifié;deluxe;75;0;0.0;328.13;0.0;173.37860384724695;0.0;Chambre Seule;7.100431601483394;194.19228128558836
AB-00729;Local_Gourmet;Externe;Haute;Booking.com;Intermediaire;Non;6;F;Faible;Europe;Autre;Non spécifié;deluxe;77;0;0.0;372.09;0.0;126.09747470962908;17.00663448238701;Forfait Gastronomique;6.3101223457255236;155.4182502046015
AB-00730;Affaires_Solo;Interne;Basse;Site Web de l'hôtel;Direct;Non;2;F;Faible;Europe;Autre;Non spécifié;Classique;55;2;499.96999999999997;249.98499999999999;0.0;80.84066715643218;0.0;Forfait Gastronomique;8.443421987335991;581.1116866180522
AB-00731;Local_Gourmet;Externe;Basse;Hotels.com;Intermediaire;Non;7;F;Moyen;États-Unis;Autre;Non spécifié;Suite senior;92;0;0.0;658.3749999999999;0.0;142.15103722230216;7.063588152669831;Forfait Gastronomique;7.476119562534866;167.50725809398
AB-00732;Loisirs_Couple;Interne;Basse;Site Web de l'hôtel;Direct;Non;8;F;Élevé;Canada;Autre;Non spécifié;Classique;30;3;1079.415;359.80499999999995;0.0;67.2586518186227;;Chambre Seule;10.0;1352.2101323044458
AB-00733;Local_Gourmet;Externe;Basse;Téléphone à l'hôtel;Direct;Non;8;F;Faible;Canada;Québec;Gatineau;Classique;10;0;0.0;359.80499999999995;0.0;165.8326665837546;15.178277519590461;Chambre Seule;7.244091389235135;206.23022157474236
AB-00734;Loisirs_Couple;Interne;Haute;Trivago;Intermediaire;Non;5;M;Élevé;États-Unis;New York;Buffalo;Classique;5;3;906.015;302.005;0.0;103.60085995372589;148.68527469086263;Forfait Gastronomique;8.006301781695905;1196.2409670048414
AB-00735;Congressiste;Interne;Basse;Hotels.com;Intermediaire;Oui;6;F;Moyen;Canada;Autre;Non spécifié;Classique;27;0;0.0;342.465;0.0;0.0;0.0;Chambre Seule;;10.291556373256437
AB-00736;Local_Spa;Externe;Haute;Courriel à l'hôtel;Direct;Non;12;M;Moyen;Canada;Québec;Québec;Classique;48;0;0.0;202.29999999999998;0.0;10.955675235608902;;Chambre Seule;8.609982761229132;181.91555335705743
AB-00737;Congressiste;Interne;Basse;Expedia;Intermediaire;Non;8;M;Moyen;États-Unis;New York;Buffalo;Classique;57;2;719.6099999999999;359.80499999999995;146.9070087316089;53.205979897468936;54.1250586225271;Chambre Seule;7.470899169442126;851.0594514396396
AB-00738;Affaires_Solo;Interne;Basse;Téléphone à l'hôtel;Direct;Non;5;F;Moyen;Europe;France;Paris;deluxe;82;3;984.39;328.13;0.0;48.416671853157425;23.19600320203093;Chambre Seule;7.597081840853712;1077.6300530405683
AB-00739;Local_Gourmet;Externe;Basse;Booking.com;Intermediaire;Non;5;F;Faible;États-Unis;Autre;Non spécifié;Classique;25;0;0.0;302.005;0.0;151.0262362481475;6.714806971581434;Forfait Gastronomique;7.14255018179202;191.51285338064392
AB-00740;Congressiste;Interne;Basse;Autre OTA;Intermediaire;Non;2;M;Moyen;Europe;France;Marseille;deluxe;72;2;543.22;271.61;904.2184517065497;54.14104361321323;0.0;Chambre Seule;7.547565471306991;612.9188486247159
AB-00741;Loisirs_Couple;Interne;Basse;Courriel à l'hôtel;Direct;Non;11;M;Moyen;Europe;Autre;Non spécifié;deluxe;73;3;871.3499999999998;290.44999999999993;0.0;;193.92052101937495;Forfait Gastronomique;10.0;1200.150281140936
AB-00742;Affaires_Solo;Interne;Haute;Courriel à l'hôtel;Direct;Non;11;M;Faible;États-Unis;New York;Buffalo;Classique;24;2;534.6499999999999;267.32499999999993;0.0;56.21333714590118;0.0;Chambre Seule;6.3268455305627445;583.6889011931341
AB-00743;Loisirs_Couple;Interne;Haute;Expedia;Intermediaire;Non;7;M;Faible;Canada;Québec;Laval;Classique;30;3;992.7149999999997;330.9049999999999;0.0;56.93664187741661;136.5567561237177;Forfait Gastronomique;8.043812705268527;1226.6209032490342
AB-00744;Local_Gourmet;Externe;Basse;Site Web de l'hôtel;Direct;Oui;9;F;Moyen;Canada;Québec;Québec;Classique;53;0;0.0;319.34499999999997;0.0;0.0;0.0;Chambre Seule;;0.2609105021083379
AB-00745;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;10;F;Faible;Canada;Québec;Laval;Classique;59;2;604.01;302.005;40.93564386087736;41.0174347754561;0.0;Chambre Seule;7.173138090787109;654.3057684576929
AB-00746;Loisirs_Couple;Interne;Basse;Booking.com;Intermediaire;Non;11;M;Faible;États-Unis;California;Non spécifié;Classique;58;1;267.32499999999993;267.32499999999993;0.0;;200.3934303134824;Chambre Seule;10.0;614.6656738926126
AB-00747;Loisirs_Couple;Interne;Haute;Trivago;Intermediaire;Non;7;Autre;Élevé;Autre;—;Non spécifié;Classique;53;6;1985.4299999999994;330.9049999999999;0.0;95.48852279047541;165.42306403577655;Forfait Gastronomique;8.39179829638464;2307.3850259608025
AB-00748;Affaires_Solo;Interne;Basse;Courriel à l'hôtel;Direct;Non;12;M;Élevé;États-Unis;Autre;Non spécifié;deluxe;69;1;219.79999999999998;219.79999999999998;0.0;56.99180915184459;7.064498762207491;Chambre Seule;7.57384662235389;284.1210091343655
AB-00749;Local_Gourmet;Externe;Basse;Expedia;Intermediaire;Non;10;F;Moyen;Canada;Autre;Non spécifié;Suite senior;95;0;0.0;600.875;0.0;145.52355972869614;;Chambre Seule;8.125241486766969;206.19946889229604
AB-00750;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;2;M;Faible;États-Unis;Autre;Non spécifié;Suite senior;91;1;497.375;497.375;476.8520259345136;58.22780014889671;0.0;Chambre Seule;6.846992896344982;547.3589691953042
AB-00751;Congressiste;Interne;Basse;Expedia;Intermediaire;Non;7;M;Faible;Autre;—;Non spécifié;deluxe;66;2;719.0599999999998;359.5299999999999;480.7720203887113;52.194383131547546;0.0;Chambre Seule;7.7428785184866245;767.2414889835931
AB-00752;Affaires_Solo;Interne;Basse;Courriel à l'hôtel;Direct;Oui;10;F;Élevé;États-Unis;New York;New York;deluxe;84;0;0.0;328.13;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00753;Loisirs_Couple;Interne;Basse;Courriel à l'hôtel;Direct;Non;12;F;Moyen;États-Unis;New York;New York;Classique;11;1;202.29999999999998;202.29999999999998;0.0;70.48489972850437;194.65910046887734;Forfait Gastronomique;10.0;523.131487781122
AB-00754;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;5;F;Élevé;Canada;Québec;Laval;Classique;46;3;906.015;302.005;0.0;102.28909528580544;180.53178941840153;Forfait Gastronomique;8.985599380724436;1263.7607490243865
AB-00755;Local_Spa;Externe;Haute;Site Web de l'hôtel;Direct;Non;4;F;Moyen;États-Unis;New York;Rochester;Classique;36;0;0.0;302.005;0.0;25.558994226781348;162.55537361588094;Forfait Gastronomique;9.5210371963544;229.94289046178528
AB-00756;Congressiste;Interne;Haute;Site Web de l'hôtel;Direct;Oui;8;M;Élevé;Europe;Autre;Non spécifié;deluxe;83;0;0.0;390.92999999999995;0.0;0.0;0.0;Chambre Seule;;26.323820648373907
AB-00757;Local_Gourmet;Externe;Basse;Téléphone à l'hôtel;Direct;Oui;1;M;Moyen;États-Unis;Autre;Non spécifié;Classique;35;0;0.0;215.30499999999998;0.0;0.0;0.0;Chambre Seule;;4.933179008808892
AB-00758;Loisirs_Couple;Interne;Haute;Booking.com;Intermediaire;Non;2;M;Faible;États-Unis;California;Non spécifié;Classique;2;3;749.9549999999999;249.98499999999999;0.0;;245.04207785450987;Forfait Gastronomique;9.096225003345522;1163.124975401685
AB-00759;Congressiste;Interne;Basse;Booking.com;Intermediaire;Oui;9;F;Moyen;États-Unis;New York;New York;deluxe;67;0;0.0;346.96999999999997;0.0;0.0;0.0;Chambre Seule;;0.0
AB-00760;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;11;M;Moyen;Canada;Québec;Laval;deluxe;69;0;0.0;290.44999999999993;0.0;160.1791736213678;0.0;Chambre Seule;6.6857482067780865;183.2001897775945
AB-00761;Loisirs_Couple;Interne;Haute;Téléphone à l'hôtel;Direct;Non;10;F;Faible;Europe;France;Paris;Classique;11;5;1510.025;302.005;0.0;93.56014917988159;189.52895962206944;Forfait Gastronomique;7.98774096269679;1853.5724333441824
AB-00762;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;7;F;Élevé;États-Unis;California;Non spécifié;Classique;42;2;661.8099999999998;330.9049999999999;0.0;103.21554957348943;196.82953378174898;Forfait Gastronomique;9.704821218025002;1032.4455965935656
AB-00763;Affaires_Solo;Interne;Haute;Trivago;Intermediaire;Oui;11;F;Faible;États-Unis;Autre;Non spécifié;deluxe;76;0;0.0;290.44999999999993;0.0;0.0;0.0;Forfait Gastronomique;;25.600845382687947
AB-00764;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;12;F;Faible;Europe;France;Marseille;deluxe;82;2;439.59999999999997;219.79999999999998;298.84692675807844;22.962631746791416;20.711362892377664;Chambre Seule;7.861357546571722;490.823067684315
AB-00765;Congressiste;Interne;Basse;Courriel à l'hôtel;Direct;Non;8;M;Élevé;Canada;Ontario;Ottawa;deluxe;66;2;781.8599999999999;390.92999999999995;146.74374399277133;41.237581368851544;0.0;Forfait Gastronomique;7.280283222978567;838.7140727685934
AB-00766;Loisirs_Couple;Interne;Haute;Courriel à l'hôtel;Direct;Non;8;M;Moyen;Canada;Québec;Montréal;Suite junior;87;3;1576.17;525.39;0.0;69.55057790351499;194.71446011051523;Forfait Gastronomique;9.0736938094467;1898.7726695862775
AB-00767;Local_Gourmet;Externe;Haute;Trip.com;Intermediaire;Non;11;F;Moyen;Canada;Ontario;Ottawa;Classique;31;0;0.0;267.32499999999993;0.0;180.0582810783253;9.866788245574527;Chambre Seule;5.3530435279425275;210.5410490004351
AB-00768;Local_Gourmet;Externe;Basse;Expedia;Intermediaire;Non;10;F;Élevé;États-Unis;California;Non spécifié;Suite senior;95;0;0.0;600.875;0.0;128.4741048833667;11.115066705503517;Chambre Seule;8.65229108818859;173.47910844521306
AB-00769;Congressiste;Interne;Haute;Site Web de l'hôtel;Direct;Non;11;M;Moyen;Autre;—;Non spécifié;deluxe;78;7;2033.1499999999996;290.44999999999993;747.5956248158408;34.023907722251124;0.0;Chambre Seule;5.872686149421408;2064.3066279165982
AB-00770;Loisirs_Couple;Interne;Haute;Expedia;Intermediaire;Oui;8;F;Faible;Canada;Québec;Québec;Classique;3;0;0.0;359.80499999999995;0.0;0.0;0.0;Chambre Seule;;18.12448557996929
AB-00771;Local_Gourmet;Externe;Basse;Trip.com;Intermediaire;Non;5;M;Élevé;Canada;Québec;Gatineau;deluxe;66;0;0.0;328.13;0.0;130.08645273788983;0.0;Forfait Gastronomique;7.362772955736241;150.1726173662336
AB-00772;Affaires_Solo;Interne;Haute;Trip.com;Intermediaire;Non;5;F;Élevé;Canada;Québec;Montréal;Classique;24;1;302.005;302.005;0.0;45.23381115844748;0.0;Chambre Seule;6.170958870383141;346.1375245153495
AB-00773;Affaires_Solo;Interne;Haute;Trivago;Intermediaire;Non;3;F;Moyen;Canada;Québec;Québec;Classique;4;4;1138.6599999999999;284.66499999999996;0.0;22.30582870205201;14.726423685146688;Forfait Gastronomique;6.20934371467087;1188.664839753503
AB-00774;Congressiste;Interne;Basse;Booking.com;Intermediaire;Oui;1;F;Faible;Europe;Autre;Non spécifié;Suite senior;95;0;0.0;428.37499999999994;0.0;0.0;0.0;Chambre Seule;;9.725544496267297
AB-00775;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;1;F;Faible;États-Unis;Autre;Non spécifié;deluxe;66;0;0.0;233.92999999999995;0.0;156.09696905165345;0.0;Chambre Seule;7.42001757057336;177.92476557899076
AB-00776;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Oui;10;F;Moyen;Canada;Québec;Laval;Classique;13;0;0.0;302.005;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00777;Local_Gourmet;Externe;Basse;Courriel à l'hôtel;Direct;Non;5;M;Faible;Canada;Ontario;Ottawa;Classique;40;0;0.0;302.005;0.0;176.22952367921243;42.02730787326219;Forfait Gastronomique;7.371636675124278;241.21660452412587
AB-00778;Loisirs_Couple;Interne;Basse;Booking.com;Intermediaire;Oui;8;M;Moyen;États-Unis;California;Non spécifié;Classique;31;0;0.0;359.80499999999995;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00779;Loisirs_Couple;Interne;Haute;Autre OTA;Intermediaire;Oui;7;M;Moyen;États-Unis;California;Non spécifié;Classique;38;0;0.0;330.9049999999999;0.0;0.0;0.0;Forfait Gastronomique;;0.0
AB-00780;Congressiste;Interne;Basse;Booking.com;Intermediaire;Non;6;F;Moyen;Canada;Québec;Québec;Classique;17;2;684.93;342.465;174.61157059106256;17.538186337738296;;Chambre Seule;7.888390157238079;751.4627093084023
AB-00781;Local_Gourmet;Externe;Basse;Site Web de l'hôtel;Direct;Non;4;F;Moyen;États-Unis;California;Non spécifié;Classique;14;0;0.0;302.005;0.0;140.06655337393596;63.95498214170631;Chambre Seule;8.947263383657397;238.9916955048803
AB-00782;Loisirs_Couple;Interne;Basse;Site Web de l'hôtel;Direct;Non;6;M;Faible;Canada;Québec;Laval;Classique;26;2;684.93;342.465;0.0;;184.61378257992592;Forfait Gastronomique;10.0;988.4023713133864
AB-00783;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;6;M;Moyen;Canada;Québec;Laval;deluxe;68;7;2604.6299999999997;372.09;0.0;87.75797914622176;50.15232220397807;Forfait Gastronomique;7.152165334411723;2770.1637744360746
AB-00784;Loisirs_Couple;Interne;Haute;Autre OTA;Intermediaire;Non;11;F;Moyen;Autre;—;Non spécifié;Suite junior;90;5;1951.7499999999995;390.3499999999999;0.0;117.10706437945515;210.20915576482855;Forfait Gastronomique;8.847252171704433;2359.9455307645158
AB-00785;Congressiste;Interne;Basse;Téléphone à l'hôtel;Direct;Non;4;F;Élevé;États-Unis;California;Non spécifié;Classique;19;2;604.01;302.005;673.8207384223921;55.6654850856213;0.0;Chambre Seule;6.813273148304504;670.8399380734938
AB-00786;Affaires_Solo;Interne;Haute;Expedia;Intermediaire;Non;2;F;Faible;Canada;Québec;Laval;Classique;22;1;249.98499999999999;249.98499999999999;0.0;83.62335519136738;27.897551334134036;Chambre Seule;6.049730522086937;389.04531470042457
AB-00787;Local_Spa;Externe;Haute;Courriel à l'hôtel;Direct;Non;12;M;Moyen;Canada;Ontario;Ottawa;deluxe;78;0;0.0;219.79999999999998;0.0;8.31321959463336;143.6956450709304;Chambre Seule;8.404616271504132;204.28810169179525
AB-00788;Local_Spa;Externe;Haute;Courriel à l'hôtel;Direct;Non;6;F;Élevé;Canada;Autre;Non spécifié;Suite junior;86;0;0.0;500.06999999999994;0.0;32.27662010079067;50.660928427163796;Chambre Seule;6.908220067755938;105.95528985846707
AB-00789;Local_Spa;Externe;Basse;Courriel à l'hôtel;Direct;Non;9;F;Faible;Canada;Québec;Gatineau;deluxe;68;0;0.0;346.96999999999997;0.0;34.41685951333032;109.20510528399484;Chambre Seule;8.65399958289868;179.1235252192702
AB-00790;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;1;M;Moyen;Canada;Ontario;Mississauga;Classique;65;2;430.60999999999996;215.30499999999998;0.0;64.05123582202988;158.91848489265644;Chambre Seule;9.307711727707412;691.0507804295263
AB-00791;Local_Gourmet;Externe;Haute;Hotels.com;Intermediaire;Oui;8;F;Moyen;États-Unis;New York;Buffalo;Classique;61;0;0.0;359.80499999999995;0.0;0.0;0.0;Forfait Gastronomique;;4.296182191325858
AB-00792;Loisirs_Couple;Interne;Haute;Site Web de l'hôtel;Direct;Non;2;M;Faible;États-Unis;New York;Buffalo;Classique;54;3;749.9549999999999;249.98499999999999;0.0;77.56562787862343;192.0014895021671;Forfait Gastronomique;8.825088936118837;1086.956003890934
